Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018484056555360447,500,417,0,22323.0,0,0,0,12,666,1.4611905563670433e-12,1.2175822998875465e-12,18724528.0,360,75694598.0,1e-14,389,1.554821860365605e-14
0.0002,0.018484056555360447,500,485,0,16669.0,0,0,0,9,714,1.0241620389232282e-12,8.607909356053895e-13,18724528.0,428,53873354.0,1e-14,462,1.1065977058285561e-14
0.0002,0.018484056555360447,500,431,0,21124.0,0,0,0,14,714,1.2929075465071172e-12,1.081278174981755e-12,18724528.0,369,64203860.0,1e-14,404,1.3187937803415361e-14
0.0002,0.018484056555360447,500,448,0,22827.0,0,0,0,9,716,1.3446764025004156e-12,1.1206935303683868e-12,18724528.0,385,66733166.0,1e-14,425,1.3707475572854854e-14
0.0002,0.018484056555360447,500,449,0,22707.0,1,0,0,11,732,1.5485926020868865e-12,1.2889796804923551e-12,18724528.0,389,71601543.0,1e-14,430,1.47074754650666e-14
0.0002,0.018484056555360447,500,463,0,19730.0,0,0,0,10,739,1.3068392996743955e-12,1.0905877841529266e-12,18724528.0,401,62630825.0,1e-14,436,1.2864825022616895e-14
0.0002,0.018484056555360447,500,499,0,19617.0,0,0,0,6,750,1.1737718640233894e-12,1.0037439794834518e-12,18724528.0,439,64262100.0,1e-14,470,1.3199900721184963e-14
0.0002,0.018484056555360447,500,440,0,21509.0,0,0,0,12,697,1.3571302277618543e-12,1.1384361042891564e-12,18724528.0,382,72403812.0,1e-14,413,1.487226732763698e-14
0.0002,0.018484056555360447,500,521,0,17931.0,1,0,0,12,773,1.1710076470062057e-12,9.828414808133261e-13,18724528.0,474,55026786.0,1e-14,498,1.130290034415138e-14
0.0002,0.018484056555360447,500,-1,0,12326.0,0,0,0,5,666,7.397410467221375e-13,6.281301808184033e-13,18724528.0,410,36213941.0,1e-14,-1,7.438605739975034e-15
0.0002,0.018484056555360447,500,423,0,25844.0,0,0,0,10,703,1.7619035858221688e-12,1.4784460156659039e-12,18724528.0,368,97776025.0,1e-14,400,2.0083903621451822e-14
0.0002,0.018484056555360447,500,-1,0,10992.0,0,0,0,8,718,6.745926843802033e-13,5.712928982437439e-13,18724528.0,408,21573132.0,1e-14,-1,4.431277543762471e-15
0.0002,0.018484056555360447,500,427,0,16308.0,0,0,0,10,691,1.21455248672377e-12,1.0197905136381881e-12,18724528.0,364,59410614.0,1e-14,397,1.220337036269654e-14
0.0002,0.018484056555360447,500,-1,0,4570.0,0,0,0,8,650,4.54586574838783e-13,3.9115545772358104e-13,18724528.0,442,22869276.0,1e-14,-1,4.697514907937617e-15
0.0002,0.018484056555360447,500,-1,0,3697.0,0,0,0,10,565,2.2118572635848067e-13,1.934290620435967e-13,18724528.0,-1,11021816.0,1e-14,-1,2.2639608255436392e-15
0.0002,0.018484056555360447,500,457,0,14014.0,0,0,0,9,691,1.0180253147583283e-12,8.538332886634337e-13,18724528.0,382,51760437.0,1e-14,435,1.0631968604903181e-14
0.0002,0.018484056555360447,500,457,0,16863.0,0,0,0,4,707,1.3169709942172298e-12,1.105905670416837e-12,18724528.0,397,66187467.0,1e-14,429,1.3595385046344672e-14
0.0002,0.018484056555360447,500,-1,0,5647.0,0,0,0,8,602,5.476502687894485e-13,4.653863073766641e-13,18724528.0,402,31419366.0,1e-14,-1,6.4537653130316966e-15
0.0002,0.018484056555360447,500,446,0,15091.0,0,0,0,10,728,1.58765277316711e-12,1.3230012036147813e-12,18724528.0,383,71592913.0,1e-14,422,1.4705702800568802e-14
0.0002,0.018484056555360447,500,449,0,22124.0,0,0,0,8,704,1.4990720214059172e-12,1.254588258874297e-12,18724528.0,390,75450673.0,1e-14,421,1.549811464216997e-14
0.0002,0.018484056555360447,500,-1,0,9934.0,0,0,0,7,686,6.630292506255779e-13,5.669013799595339e-13,18724528.0,391,33084410.0,1e-14,-1,6.795777408752266e-15
0.0002,0.018484056555360447,500,424,0,17046.0,1,0,0,8,696,1.6440303074902889e-12,1.3641495718472921e-12,18724528.0,359,82260726.0,1e-14,404,1.6896948846249952e-14
0.0002,0.018484056555360447,500,458,0,20628.0,0,0,0,8,727,1.548394150344989e-12,1.2885379240301835e-12,18724528.0,393,71903474.0,1e-14,435,1.4769494279027668e-14
0.0002,0.018484056555360447,500,453,0,11109.0,1,0,0,7,696,1.2700123083228884e-12,1.0648787615165179e-12,18724528.0,402,69423913.0,1e-14,430,1.426017449283764e-14
0.0002,0.018484056555360447,500,440,0,12989.0,1,0,0,13,713,1.3763351824977204e-12,1.1489007472857544e-12,18724528.0,377,70214418.0,1e-14,416,1.4422549944614052e-14
0.0002,0.018484056555360447,500,481,0,7286.0,0,0,0,13,676,7.964038760933965e-13,6.716434703930096e-13,18724528.0,384,41782985.0,1e-14,-1,8.58252770816329e-15
0.0002,0.018484056555360447,500,458,0,12105.0,1,0,0,7,734,1.3692455626347377e-12,1.1586663810286772e-12,18724528.0,401,65708559.0,1e-14,431,1.3497013874929774e-14
0.0002,0.018484056555360447,500,423,0,11986.0,0,0,0,9,702,1.1872375095421823e-12,1.0001663698565151e-12,18724528.0,359,60220595.0,1e-14,392,1.2369746325916634e-14
0.0002,0.018484056555360447,500,441,0,16958.0,0,0,0,7,767,1.6785465166678969e-12,1.4166384995797095e-12,18724528.0,388,95675129.0,1e-14,417,1.9652364368524583e-14
0.0002,0.018484056555360447,500,465,0,5982.0,0,0,0,8,734,1.0859821314426937e-12,9.110227614967251e-13,18724528.0,396,55667172.0,1e-14,439,1.1434440266177532e-14
0.0002,0.018484056555360447,500,448,0,8598.0,0,0,0,12,698,9.903550604867446e-13,8.334193277671069e-13,18724528.0,371,49305512.0,1e-14,422,1.0127709231525169e-14
0.0002,0.018484056555360447,500,422,0,13415.0,1,0,0,8,685,1.5725449441982122e-12,1.323267020050397e-12,18724528.0,365,75622744.0,1e-14,396,1.553345927169492e-14
0.0002,0.018484056555360447,500,423,0,10270.0,0,0,0,10,693,1.369193383443886e-12,1.1498685230616747e-12,18724528.0,367,77583764.0,1e-14,397,1.5936266981250903e-14
0.0002,0.018484056555360447,500,431,0,9949.0,1,0,0,8,754,1.5410962087167287e-12,1.3130253345015931e-12,18724528.0,375,88629766.0,1e-14,408,1.82051957863477e-14
